Source Name	Characteristics [Organism]	Term Source REF	Characteristics [StrainOrLine]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Term Source REF	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Factor Value [StrainOrLine]	Factor Value [compound]	Factor Value [Time]	Unit [TimeUnit]	Factor Value [Compound]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
ABRC-CS57908 1	Arabidopsis thaliana	ncbitax	CS57908	P-TABM-hans18	ABRC-CS57908 1	P-TABM-103	ABRC-CS57908 1	total_RNA	P-TABM-hans19	ABRC-CS57908 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R15	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57908	0.02% Silwet	28	h	  	R15	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57751 1	Arabidopsis thaliana	ncbitax	CS57751	P-TABM-hans18	ABRC-CS57751 1	P-TABM-103	ABRC-CS57751 1	total_RNA	P-TABM-hans19	ABRC-CS57751 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R227	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57751	0.02% Silwet	28	h	  	R227	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57810 2	Arabidopsis thaliana	ncbitax	CS57810	P-TABM-hans18	ABRC-CS57810 2	P-TABM-103	ABRC-CS57810 2	total_RNA	P-TABM-hans19	ABRC-CS57810 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R676	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57810	0.02% Silwet	28	h	  	R676	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57822 1	Arabidopsis thaliana	ncbitax	CS57822	P-TABM-hans18	ABRC-CS57822 1	P-TABM-103	ABRC-CS57822 1	total_RNA	P-TABM-hans19	ABRC-CS57822 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R231	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57822	0.02% Silwet	28	h	  	R231	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57859 2	Arabidopsis thaliana	ncbitax	CS57859	P-TABM-hans18	ABRC-CS57859 2	P-TABM-103	ABRC-CS57859 2	total_RNA	P-TABM-hans19	ABRC-CS57859 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R498	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57859	0.02% Silwet	28	h	  	R498	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57816 1	Arabidopsis thaliana	ncbitax	CS57816	P-TABM-hans18	ABRC-CS57816 1	P-TABM-103	ABRC-CS57816 1	total_RNA	P-TABM-hans19	ABRC-CS57816 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R22	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57816	0.02% Silwet	28	h	  	R22	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57561 2	Arabidopsis thaliana	ncbitax	CS57561	P-TABM-826	ABRC-CS57561 2	P-TABM-103	ABRC-CS57561 2	total_RNA	P-TABM-hans19	ABRC-CS57561 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R1280	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57561	  	28	h	0.02% Silwet	R1280.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57710 1	Arabidopsis thaliana	ncbitax	CS57710	P-TABM-hans18	ABRC-CS57710 1	P-TABM-103	ABRC-CS57710 1	total_RNA	P-TABM-hans19	ABRC-CS57710 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R268	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57710	0.02% Silwet	28	h	  	R268	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57690 1	Arabidopsis thaliana	ncbitax	CS57690	P-TABM-826	ABRC-CS57690 1	P-TABM-103	ABRC-CS57690 1	total_RNA	P-TABM-hans19	ABRC-CS57690 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R1034	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57690	  	28	h	0.02% Silwet	R1034.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57533 1	Arabidopsis thaliana	ncbitax	CS57533	P-TABM-826	ABRC-CS57533 1	P-TABM-103	ABRC-CS57533 1	total_RNA	P-TABM-hans19	ABRC-CS57533 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R1077	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57533	  	28	h	0.02% Silwet	R1077.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
