Loudet RIL # or accession,ABRC stock #
Bay-0,CS57923
Sha,CS57924
2,CS57509
4,CS57511
5,CS57512
6,CS57513
8,CS57515
11,CS57518
13,CS57520
14,CS57521
15,CS57522
16,CS57523
23,CS57530
26,CS57533
28,CS57535
30,CS57537
31,CS57538
32,CS57539
34,CS57541
36,CS57543
37,CS57544
38,CS57545
41,CS57548
42,CS57549
44,CS57551
47,CS57554
49,CS57556
51,CS57558
53,CS57560
54,CS57561
56,CS57563
58,CS57565
61,CS57568
62,CS57569
63,CS57570
65,CS57572
70,CS57577
71,CS57578
73,CS57580
74,CS57581
76,CS57583
80,CS57586
81,CS57587
84,CS57590
85,CS57591
86,CS57592
89,CS57595
90,CS57596
92,CS57598
94,CS57600
95,CS57601
97,CS57603
99,CS57605
100,CS57606
102,CS57608
104,CS57610
106,CS57612
110,CS57615
111,CS57616
113,CS57618
114,CS57619
115,CS57620
116,CS57621
117,CS57622
119,CS57624
120,CS57625
121,CS57626
122,CS57627
123,CS57628
124,CS57629
125,CS57630
126,CS57631
132,CS57637
133,CS57638
135,CS57640
136,CS57641
139,CS57644
140,CS57645
142,CS57646
143,CS57647
144,CS57648
149,CS57653
151,CS57655
154,CS57658
155,CS57659
156,CS57660
159,CS57663
160,CS57664
162,CS57666
165,CS57669
166,CS57670
167,CS57671
170,CS57674
173,CS57677
179,CS57683
180,CS57684
186,CS57690
187,CS57691
188,CS57692
189,CS57693
190,CS57694
191,CS57695
192,CS57696
193,CS57697
194,CS57698
195,CS57699
197,CS57701
198,CS57702
199,CS57703
200,CS57704
201,CS57705
202,CS57706
205,CS57709
206,CS57710
210,CS57713
211,CS57714
212,CS57715
213,CS57716
214,CS57717
216,CS57719
221,CS57722
222,CS57723
227,CS57727
231,CS57731
232,CS57732
233,CS57733
235,CS57735
236,CS57736
237,CS57737
241,CS57740
243,CS57742
244,CS57743
252,CS57750
253,CS57751
254,CS57752
255,CS57753
258,CS57756
260,CS57758
262,CS57760
264,CS57762
267,CS57765
271,CS57769
272,CS57770
273,CS57771
277,CS57775
278,CS57776
279,CS57777
280,CS57778
281,CS57779
285,CS57783
286,CS57784
288,CS57785
292,CS57789
293,CS57790
305,CS57801
307,CS57803
309,CS57805
311,CS57807
314,CS57810
315,CS57811
316,CS57812
318,CS57813
319,CS57814
320,CS57815
321,CS57816
326,CS57820
328,CS57822
329,CS57823
330,CS57824
331,CS57825
332,CS57826
334,CS57827
335,CS57828
341,CS57834
342,CS57835
343,CS57836
348,CS57840
349,CS57841
350,CS57842
351,CS57843
355,CS57847
356,CS57848
357,CS57849
358,CS57850
359,CS57851
362,CS57854
363,CS57855
364,CS57856
366,CS57858
367,CS57859
368,CS57860
373,CS57865
375,CS57867
376,CS57868
378,CS57870
379,CS57871
380,CS57872
381,CS57873
382,CS57874
383,CS57875
384,CS57876
387,CS57878
392,CS57883
393,CS57884
395,CS57886
399,CS57890
408,CS57896
410,CS57898
413,CS57901
417,CS57904
418,CS57905
421,CS57908
430,CS57917
