;	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152
;	4	5	8	13	14	16	28	30	34	36	37	41	42	44	49	53	56	62	63	65	73	74	76	80	81	85	89	90	92	95	97	99	100	104	110	111	113	114	115	116	117	119	120	121	122	123	124	125	126	132	136	139	142	144	151	154	156	159	160	162	167	173	187	188	193	195	197	200	201	202	205	206	211	212	213	214	216	221	227	231	232	233	235	237	241	243	244	252	253	254	255	260	271	272	273	277	278	279	280	281	285	288	292	293	305	307	311	314	315	316	318	321	326	328	329	330	331	332	334	335	341	342	343	348	350	351	355	356	358	362	366	367	375	378	379	381	382	383	384	392	393	395	399	408	413	417	418	421	Sha_1	Sha_2	Bay-0_1	Bay-0_2
At1g01630-3	A	A	A	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	B	B	B	B	A	A	B	A	A	B	A	B	B	B	A	A	A	B	A	A	A	B	A	A	A	B	B	B	B	A	A	B	A	A	A	B	A	A	A	B	B	A	B	A	A	B	A	B	A	A	B	B	B	B	A	A	A	A	A	A	A	A	B	B	A	B	A	A	B	B	A	A	B	B	B	A	B	A	B	A	A	A	B	B	A	B	B	A	B	A	B	B	B	A	B	B	A	A	B	A	B	A	A	A	B	A	B	B	A	A	B	A	A	A	A	A	B	B
At1g02500-9	A	A	A	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	A	A	A	B	B	B	A	A	A	B	A	B	B	B	B	A	A	B	A	A	B	A	B	B	B	A	A	A	B	A	A	A	B	A	A	A	B	B	B	B	A	A	B	A	A	A	B	A	A	A	B	B	A	B	A	A	B	A	B	A	A	B	B	B	B	A	A	A	A	A	A	A	A	B	B	A	B	A	A	B	B	A	A	B	B	B	A	B	A	B	A	A	A	B	B	A	B	B	A	B	A	B	B	B	A	B	B	A	A	B	A	B	A	A	A	B	A	B	B	A	A	B	A	A	A	A	A	B	B
At1g03600-5	A	A	A	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	A	A	A	B	B	B	A	A	A	B	A	B	B	B	B	A	A	B	A	B	B	A	B	B	B	A	A	A	B	A	A	A	B	A	A	A	B	B	B	B	A	A	B	A	A	A	B	A	A	A	B	B	A	B	A	A	B	A	B	A	A	A	B	B	B	A	A	A	A	A	A	A	A	B	-	A	B	A	A	B	B	A	A	B	B	B	A	B	A	B	A	A	A	B	B	A	B	B	A	B	A	B	B	B	A	B	B	A	A	B	A	B	A	A	A	B	A	B	B	A	A	B	A	A	A	A	A	B	B
At1g04170-6	A	A	A	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	A	A	A	B	B	B	A	A	A	B	A	B	B	B	B	A	A	B	A	B	B	A	B	B	B	A	A	A	B	A	A	A	B	A	A	A	B	B	B	B	A	A	B	A	A	A	B	A	A	A	B	B	A	B	A	A	B	A	B	A	A	A	B	B	B	A	A	A	A	A	A	A	A	B	B	A	B	A	A	B	B	A	A	B	B	B	A	B	A	B	A	A	A	B	B	A	B	B	A	B	A	B	B	B	A	B	B	A	A	B	A	B	-	A	A	B	A	B	B	A	A	B	A	B	A	A	A	B	B
At1g04400-9	A	A	A	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	A	A	A	B	B	B	A	A	A	B	A	B	B	B	B	A	A	B	A	B	B	A	B	B	B	A	A	A	B	A	A	A	B	A	A	A	B	B	B	B	A	A	B	A	A	A	B	A	A	A	B	B	A	B	A	A	B	A	B	A	A	A	B	B	B	A	A	A	B	A	A	A	A	B	B	A	B	A	A	B	B	A	A	B	B	B	A	B	A	B	A	A	A	B	B	A	B	B	A	B	A	B	B	B	A	B	B	A	A	B	A	B	-	A	A	B	A	B	B	A	A	B	A	B	A	A	A	B	B
At1g04410-2	A	A	A	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	A	A	A	B	B	B	A	A	A	B	A	B	B	B	B	A	A	B	A	B	B	A	B	B	B	A	A	A	B	A	A	A	B	A	A	A	B	B	B	B	A	A	B	A	A	A	B	A	A	A	B	B	A	B	A	A	B	A	B	A	A	A	B	B	B	A	A	A	B	A	A	A	A	B	B	A	B	A	A	B	B	A	A	B	B	B	A	B	A	B	A	A	A	B	B	A	B	B	A	B	A	B	B	B	A	B	B	A	A	B	A	B	-	A	A	B	A	B	B	A	A	B	A	B	A	A	A	B	B
T1G11	A	A	A	B	B	B	A	A	B	-	A	A	A	A	B	A	B	A	B	A	A	A	A	A	A	A	B	B	B	A	A	A	B	A	A	B	B	B	A	A	B	A	B	B	A	B	B	B	A	A	A	B	A	A	A	B	A	A	A	B	B	B	B	A	A	B	A	A	A	B	A	A	A	B	B	A	B	A	A	B	A	B	A	A	A	B	B	B	A	A	A	B	-	A	A	A	B	B	A	B	A	A	B	-	A	A	B	B	B	A	B	A	B	A	A	A	B	B	A	B	B	A	B	A	B	B	B	A	B	B	A	A	B	A	B	A	A	A	B	A	B	B	A	A	B	A	B	A	A	A	B	B
At1g04680-1	A	A	A	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	A	A	A	B	B	B	A	A	A	B	A	A	B	B	B	A	A	B	A	B	B	A	B	B	B	A	A	A	B	A	A	A	B	A	A	A	B	B	B	B	A	A	B	A	A	A	B	A	A	A	B	B	A	B	A	A	B	A	B	A	A	A	B	B	B	A	A	A	B	A	A	A	A	B	B	A	B	A	A	B	B	A	A	B	B	B	A	B	A	B	A	A	A	B	B	A	B	B	A	B	A	B	B	B	A	B	B	A	A	B	A	B	-	A	A	B	A	B	B	A	A	B	A	B	A	A	A	B	B
At1g05070-10	A	A	A	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	A	A	A	B	B	B	A	A	A	B	A	A	B	B	B	A	B	B	A	B	B	A	B	B	B	A	A	A	B	A	A	A	B	A	A	A	B	B	B	B	A	A	B	A	A	A	B	A	A	A	B	B	A	B	A	A	B	A	B	A	A	A	B	B	B	A	A	A	B	A	A	A	A	B	B	A	B	A	A	B	B	A	A	B	B	B	A	B	A	B	A	A	A	B	B	A	B	B	A	B	A	B	B	B	A	B	B	A	A	B	A	B	-	A	A	B	A	B	B	A	A	B	A	B	A	A	A	B	B
